Data;Estação;Latitude;Longitude;Radiação Solar (W/m2);Precipitação (mm);Vel do Vento Média (km/h);Temp. Mínima (°C);Temp. Média (°C);Temp. Máxima (°C);Umidade Rel. Mín. (%);Umidade Rel. Média (%);Umidade Rel. Máxima (%);Rajada de Vento (km/h);Evapotranspiração (mm)
"01/02/2026 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";49;1,4;6,6;21,61;22,31;22,95;93,43;97,53;100;17,6;
"01/02/2026 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";338;0,2;2,6;21,88;23,19;24,23;87,38;92,55;98,77;10,8;
"01/02/2026 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";149;0;3,1;23,34;23,62;23,9;90,11;90,89;92,56;9;
"01/02/2026 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";106;0;4,8;23,38;23,72;23,87;84,84;88,26;91,02;13;
"01/02/2026 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";22;0;4,6;22,41;23,1;23,55;86,24;89,42;95,69;11,9;
"01/02/2026 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";5;1,2;1,7;21,8;21,99;22,23;97,41;99,64;99,99;6,1;
"01/02/2026 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3;21,88;22,09;22,31;98,69;99,72;100;10,8;
"01/02/2026 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2;21,78;22,24;22,52;92,05;94,94;97,95;7,2;
"01/02/2026 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1,6;21,76;21,99;22,14;94,61;96,63;98,98;6,5;
"01/02/2026 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,2;21,4;21,94;22,23;91,3;95,33;99,99;14,4;
"01/02/2026 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,2;20,48;20,75;21,03;95,9;98,54;100;14,8;
"02/02/2026 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,4;20,54;20,61;20,71;99,99;99,99;100;7,6;2,4
"02/02/2026 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5,1;20,62;20,71;20,82;99,98;99,99;99,99;11,5;
"02/02/2026 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5;20,82;20,86;20,91;99,99;99,99;100;10,8;
"02/02/2026 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,1;20,59;20,75;20,92;94,76;98,65;100;9,7;
"02/02/2026 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6;20,79;20,85;20,92;94,86;96,76;98,66;12,2;
"02/02/2026 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,7;20,43;20,53;20,69;98,72;99,83;100;11,5;
"02/02/2026 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";11;0;4,1;20,47;20,6;20,84;99,98;99,98;99,98;13,3;
"02/02/2026 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";68;0;4,5;20,92;21,1;21,38;99,98;99,98;99,99;13,7;
"02/02/2026 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";127;0;4,6;21,43;21,53;21,76;97,6;99,63;100;13,7;
"02/02/2026 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";389;0;5,6;22;22,85;23,93;85,89;92;97,9;14;
"02/02/2026 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";588;0;5,9;23,6;24,58;26,25;74,33;83,79;86,96;14;
"02/02/2026 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";334;0;5,8;23,61;24;24,73;84,36;87,36;89,24;14;
"02/02/2026 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";372;3,8;5,9;22,52;24,11;25,17;81,47;89,34;100;15,1;
"02/02/2026 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";487;0;5,8;22,52;23,99;24,77;88,95;93,2;99,98;15,8;
"02/02/2026 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";473;0;5,4;23,66;24,85;25,94;81,01;87,46;96,89;15,8;
"02/02/2026 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";171;3,2;4,9;21,9;24,31;25,62;82,32;89,68;100;11,9;
"02/02/2026 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";97;0,4;1,1;21,89;22,43;22,8;99,98;99,98;99,99;6,5;
"02/02/2026 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";83;1,2;0,6;22,18;22,5;22,65;99,98;99,99;100;3,2;
"02/02/2026 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";30;0;0,9;22,14;22,39;22,66;99,98;99,98;99,99;4;
"02/02/2026 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,7;22,04;22,07;22,12;99,98;99,98;99,98;4;
"02/02/2026 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1,5;21,67;21,93;22,03;99,98;99,98;99,98;5,8;
"02/02/2026 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,8;21,71;21,82;21,95;99,97;99,97;99,98;5,4;
"02/02/2026 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5;21,94;22,01;22,08;99,97;99,98;99,99;11,5;
"02/02/2026 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5,7;21,68;21,79;21,95;99,97;99,98;99,98;13;
