Data;Estação;Latitude;Longitude;Radiação Solar (W/m2);Precipitação (mm);Vel do Vento Média (km/h);Temp. Mínima (°C);Temp. Média (°C);Temp. Máxima (°C);Umidade Rel. Mín. (%);Umidade Rel. Média (%);Umidade Rel. Máxima (%);Rajada de Vento (km/h);Evapotranspiração (mm)
"01/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,7;19,86;19,97;20,12;93,84;94,47;95,13;19,4;4,6
"01/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,9;19,45;19,58;19,84;93,95;95,19;95,85;19,1;
"01/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;9;19,31;19,47;19,66;92,48;94,52;95,72;20,9;
"01/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;9,5;19,73;19,84;19,98;90,15;91,16;91,92;26,3;
"01/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;9,2;19,87;19,95;20,02;89,83;90,59;91,22;19,1;
"01/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,2;19,1;19,51;19,89;91,11;93,8;96,93;12,2;
"01/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";48;0;8,1;19,52;20,23;20,51;89,22;90,32;94,16;18,7;
"01/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";208;0;6,8;20,55;21,5;22,43;82,14;86,33;89,11;15,8;
"01/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";352;0;3,4;22,83;23,59;24,27;74,53;79,95;83,19;11,5;
"01/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";688;0;3,1;24,22;25,41;26,72;66,23;72,83;79,96;9,7;
"01/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";908;0;4,2;26,46;27,49;28,04;56,26;63,77;69,42;15,1;
"01/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";983;0;3,8;28,04;28,94;29,97;49,25;54,57;61,16;11,5;
"01/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";728;0;3,1;28,91;29,35;30,09;49,54;53,79;60,68;10,1;
"01/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";680;0;4,8;28,88;29,42;30,35;50,88;54,33;56,69;12,6;
"01/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";495;0;4,9;29,4;29,87;30,44;48,36;50,86;55,84;16,2;
"01/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";118;0;1,1;28,51;28,94;29,5;50,18;54,96;58,78;5;
"01/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";154;0;3,6;27,28;27,67;28,34;59,31;64,74;70,16;9;
"01/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";88;0;4,1;25,84;26,23;27;69,02;72,8;75;15,1;
"01/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";24;0;3,3;24,7;25,41;25,86;74,06;75,29;77,42;14;
"01/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,7;23,11;23,81;24,6;75,57;76,91;79;17,6;
"01/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7;22,44;22,57;22,89;74,27;79,08;82,48;16,6;
"01/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,9;22,01;22,33;22,83;73,55;77,73;80,49;18,4;
"01/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;11,3;21,7;22,26;22,5;73,79;76,65;82,41;26,6;
"01/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;10,4;22,08;22,53;22,86;75,2;76,98;78,47;31;
"02/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;16,4;22,68;22,92;23,07;72,48;74,4;77,61;32;1,7
"02/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;12,9;21,77;22,34;22,69;77,72;80,62;82,48;37,8;
"02/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,9;19,6;20,43;21,22;83,47;86,61;89,89;12,2;
"02/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;1;4;18,23;18,95;19,47;91,18;95,84;100;10,8;
"02/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;8,8;4,2;18;18,12;18,23;99,97;99,97;99,98;12,2;
"02/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,6;4,8;18,1;18,16;18,21;99,97;99,97;99,97;16,6;
"02/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";9;0;6,3;18,22;18,47;18,93;99,97;99,97;99,99;22,3;
"02/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";35;0;9,6;19,07;19,51;19,78;99,99;99,99;100;28,8;
"02/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";41;0,6;8,6;19,22;19,65;20,1;96,2;99,57;100;40;
"02/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";134;1,2;2,6;19,19;19,47;19,96;99,98;99,99;100;10,8;
"02/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";256;0;4,8;19,93;20,46;20,77;97,23;99,36;100;13,7;
"02/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";115;1,4;6,5;18,92;20,43;21,14;98,36;99,55;100;27;
"02/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";27;6,4;8,9;17,73;18,16;18,69;99,97;99,98;99,99;26,3;
"02/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";103;0,6;2,2;18,01;18,3;18,82;99,97;99,97;99,97;7,2;
"02/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";339;0;6,2;18,99;20,15;21,73;90,36;97,95;100;15,8;
"02/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";232;0;8,6;20,93;21,18;21,54;90,81;96,51;100;18,7;
"02/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";299;0;5,9;21,16;22,01;22,3;86,19;89;95,35;13,7;
"02/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";65;0;6,7;21,65;21,81;22,08;87,45;89,39;91,83;14;
"02/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";2;0;4,1;20,86;21,38;21,7;88,95;92,35;97,07;12,6;
"02/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,8;20,48;20,68;20,83;96,71;97,91;99,31;11,9;
"02/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1;20,04;20,23;20,45;99,18;99,9;99,99;4,7;
"02/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,7;19,91;20;20,13;99,98;99,98;99,98;4,3;
"02/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,2;2,9;19,95;20,03;20,12;99,98;99,98;99,99;8,3;
"02/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,9;19,75;19,87;19,97;99,99;99,99;99,99;10,1;
"03/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;3,4;3;19,23;19,49;19,77;99,98;99,98;99,99;8,3;4
"03/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,6;3,6;19,15;19,25;19,31;99,97;99,97;99,97;12,6;
"03/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;13,6;19,06;19,23;19,37;98,59;99,63;100;39,6;
"03/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;14,8;19,1;19,18;19,29;98,89;99,75;100;29,5;
"03/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;14,2;18,9;19,03;19,23;99,41;99,91;100;30,2;
"03/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;16,4;18,94;19,03;19,11;99,98;99,98;99,99;29,5;
"03/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";59;0;15,4;18,93;19,13;19,34;99,98;99,98;99,99;27,7;
"03/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";125;0;12,9;19,5;19,8;19,97;99,13;99,81;100;24,5;
"03/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";259;0;13,2;20,01;20,49;21,35;95,79;98,49;99,68;25,6;
"03/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";500;0;10,2;21,47;22,01;22,76;90,51;93,5;97,57;21,6;
"03/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";528;0;11,3;22,68;23,04;23,58;87,21;89,92;92,59;22,7;
"03/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";623;0;9,6;22,78;23,49;24,41;82,56;87,03;91,19;19,8;
"03/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";675;0;8,9;23,99;24,37;24,72;81,07;82,96;85,97;16,9;
"03/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";601;0;8,8;24,82;25,46;26,54;75,94;80,02;84,09;23;
"03/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";741;0;8,6;26,22;27,08;27,93;70,44;73,52;76,31;32,4;
"03/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";467;0;6,4;27,37;27,75;28,2;67,51;69,46;71,33;16,2;
"03/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";474;0;7,7;27,73;28,18;28,59;63,72;65,86;68,28;16,2;
"03/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";158;0;5;26,96;27,53;28,18;65,28;68,8;71,72;13;
"03/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";18;0;0,9;25,47;26,17;27,51;67,48;75,81;80,28;4;
"03/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1,3;23,85;24,72;25,38;78,7;83,08;87,91;8,3;
"03/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1;23,83;23,91;24,01;84,44;85,96;87,85;4,7;
"03/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,5;23,75;23,87;24,05;82,82;83,96;85,02;5,4;
"03/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,9;23,69;24,05;24,29;82,66;84,05;86,05;6,5;
"03/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,3;22,9;23,39;23,75;83,88;86,09;88,99;6,8;
"04/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3;22,43;22,6;22,7;90,32;91,12;92,29;6,8;5,7
"04/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,6;21,98;22,33;22,69;89,7;92,04;94,23;15,1;
"04/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,4;22,08;22,34;22,6;89,91;91,78;93,68;22;
"04/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7,7;22,01;22,25;22,59;89,33;91,35;92,55;16,6;
"04/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,5;21;21,47;21,91;92,92;95,62;98,41;15,8;
"04/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,1;20,78;21,28;21,86;90,62;95,35;98,77;7,6;
"04/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";73;0;5,7;21,19;22,12;22,95;89,04;91,84;96,41;12,6;
"04/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";231;0;8,7;23,09;23,6;24,4;82,14;85,56;89,02;20,2;
"04/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";426;0;9;24,51;25,19;25,87;76,42;80,03;82,29;21,6;
"04/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";684;0;9;25,85;26,26;26,85;74,49;78,71;81,71;16,9;
"04/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";921;0;5,9;27,17;27,93;28,48;64,95;70,81;74,75;19,4;
"04/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";736;0;7;28,32;28,66;29,36;64,81;69,7;73,35;13,7;
"04/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";832;0;7,3;29,05;29,72;30,9;61,54;65,38;70,41;18;
"04/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";865;0;7,1;29,23;30,29;31,31;52,07;60,49;66,28;15,5;
"04/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";788;0;7,4;30,52;31,08;31,68;52,64;56,1;59,1;19,1;
"04/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";784;0;7,9;31,17;31,83;32,08;44,29;49,32;57,95;20,9;
"04/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";323;0;6,9;30,79;31,26;32,1;45,83;48,92;50,27;19,4;
"04/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";253;0;5,1;29,52;31,26;32,02;44,68;49,65;62,05;14,4;
"04/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";29;0;0,7;26,88;27,96;29,11;63,16;68,22;74;7,2;
"04/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,1;27,32;27,64;28,19;67,05;69,27;74,73;7,2;
"04/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;5,6;27,3;27,84;28,25;67,31;70,7;72,42;15,1;
"04/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;15,3;24,3;25,11;26,56;76,66;82,76;86,18;28,8;
"04/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;13,1;24,14;24,24;24,3;83,96;85,01;85,99;25,9;
"04/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7,2;23,73;24,13;24,33;82,51;84,37;86,97;16,6;
"05/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7,2;23,85;24,05;24,2;83,38;84,08;84,87;16,6;1,5
"05/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,6;8,6;22,58;23,12;23,88;84,87;92,4;97,3;20,5;
"05/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,2;4,9;22,25;22,88;24,69;84,81;96,04;100;15,1;
"05/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,9;21,89;22,19;22,41;97,79;99,05;100;16,6;
"05/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,3;21,48;21,82;22,4;96,11;99,07;99,99;11,9;
"05/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,6;22,09;22,23;22,36;89,62;91,7;95,49;9,4;
"05/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";52;0;6;21,64;21,98;22,29;90,51;93,41;96,87;15,8;
"05/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";208;0;5,4;21,81;22,7;23,39;84,18;89,36;92,11;13,7;
"05/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";253;0;4,6;23,53;23,95;24,45;78,6;82,87;86,18;11,2;
"05/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";210;0;2,8;24,33;24,72;25,32;78,76;82,48;85,6;12,6;
"05/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";101;2,6;4,9;22,6;24;24,5;82,85;88,26;99,99;13,3;
"05/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";5;12,2;12,4;18,89;19,67;22,14;99,97;99,98;99,99;43,6;
"05/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";17;2,6;5;19,34;19,6;20,15;88,65;95,35;99,99;22;
"05/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";98;1,6;1,3;18,91;19,62;20,9;89,5;96,42;100;12,2;
"05/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";96;0,2;7,5;20,69;21,11;21,55;81,34;91,85;97,2;17,3;
"05/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";130;0;7,4;20,66;20,79;20,98;96,39;97,81;98,92;18,7;
"05/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";186;0;5,4;21,18;21,4;21,68;91,15;94,66;97,01;20,9;
"05/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";103;0;2,7;20,61;21,12;21,42;94,31;96,89;98,12;7,2;
"05/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";6;0;3,2;20,1;20,33;20,65;98,41;99,63;99,99;10,4;
"05/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1,7;19,78;19,89;20;97,19;99,3;100;9;
"05/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,4;19,34;19,65;19,97;94,68;97,8;99,8;4;
"05/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;1,1;19,35;19,57;19,86;91,63;93,89;97,18;5,8;
"05/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;0,9;19,41;19,63;19,83;91,22;92,55;94,48;7,6;
"05/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7,3;19,26;19,39;19,56;93,56;95,39;98,17;20,5;
"06/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;11,3;18,77;19,01;19,21;99,01;99,9;100;21,2;4,6
"06/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;11,8;18,4;18,57;18,73;99,97;99,97;99,98;22;
"06/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0,2;9,1;18,29;18,35;18,41;99,97;99,97;99,97;19,8;
"06/11/2025 - 03:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,3;18,26;18,32;18,37;99,97;99,97;99,97;14;
"06/11/2025 - 04:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;3,2;18,14;18,23;18,32;99,97;99,97;99,97;6,8;
"06/11/2025 - 05:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;2,6;17,97;18,08;18,24;99,97;99,97;99,97;8,3;
"06/11/2025 - 06:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";23;0;2,8;17,95;18,06;18,18;99,97;99,97;99,97;8,6;
"06/11/2025 - 07:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";76;0;4,8;18,07;18,22;18,49;99,97;99,97;99,97;14,8;
"06/11/2025 - 08:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";202;0;7,4;18,44;19;20,32;98,39;99,75;99,99;21,2;
"06/11/2025 - 09:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";373;0;7,1;20,42;21,05;22,21;86,51;94,4;97,18;16,9;
"06/11/2025 - 10:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";533;0;7,1;21,92;22,36;22,89;79,72;83,73;88,16;23,8;
"06/11/2025 - 11:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";833;0;7,4;22,8;23,45;24,38;74,26;78,92;83,2;20,9;
"06/11/2025 - 12:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";1043;0;6,1;23,98;25,04;25,93;68,81;73,91;82,61;19,4;
"06/11/2025 - 13:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";981;0;4,7;25,65;26,41;27,04;62,5;67,87;72,98;15,1;
"06/11/2025 - 14:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";855;0;4,2;26,59;27,18;27,98;60,62;64,99;72,63;12,6;
"06/11/2025 - 15:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";685;0;4,1;26,93;27,68;28,36;57,64;60,81;66,84;19,4;
"06/11/2025 - 16:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";464;0;3,3;27,02;27,72;28,48;55,43;57,99;63,84;9,7;
"06/11/2025 - 17:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";278;0;2,6;26,6;27,35;27,87;56,28;58,61;63,18;11,9;
"06/11/2025 - 18:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";46;0;2,3;25,53;26,1;26,7;59,14;63,17;67,26;9,4;
"06/11/2025 - 19:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;4,1;24,11;24,84;25,5;65,15;67,01;68,26;14,8;
"06/11/2025 - 20:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;6,6;21,38;22,4;23,94;68,27;73,15;76,79;17,3;
"06/11/2025 - 21:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7;19,64;20,33;21,21;76,81;78,63;80,74;17,3;
"06/11/2025 - 22:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7,2;18,68;19,06;19,54;80,49;81,21;82,23;17,3;
"06/11/2025 - 23:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,1;17,83;18,22;18,57;82,15;83,62;84,72;17,6;
"07/11/2025 - 00:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,3;17,21;17,44;17,83;85,07;85,68;86,47;18,4;6,2
"07/11/2025 - 01:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;8,9;16,63;16,9;17,23;84,9;85,58;86,1;21,6;
"07/11/2025 - 02:00 / GMT - 03:00";"Unimar Pesquisa (0020ED51)";"-22,2476";"-49,9764";0;0;7,3;16,33;16,51;16,73;85,18;85,92;86,86;19,8;
